receipt_id,po_number,receipt_date,receipt_time,sku_id,expected_qty,received_qty,variance_qty,putaway_location,putaway_timestamp,associate_id,condition
RCPT-100175,PO-50000,2024-12-23,07:39:00,SKU-00034,210,211,1,A-04L-017-3-A,2024-12-23 09:54:00,RCV-006,NEW
RCPT-100034,PO-50000,2024-12-23,09:15:00,SKU-03496,797,799,2,B-01R-016-5-B,2024-12-23 11:23:00,RCV-004,NEW
RCPT-100127,PO-50000,2024-12-23,06:50:00,SKU-03854,84,83,-1,B-02L-022-3-A,2024-12-23 09:21:00,RCV-001,NEW
RCPT-100168,PO-50000,2024-12-23,10:34:00,SKU-02585,2844,2846,2,A-01R-012-4-A,2024-12-23 13:02:00,RCV-007,NEW
RCPT-100180,PO-50000,2024-12-23,10:01:00,SKU-02216,18,20,2,C-02L-009-1-A,2024-12-23 12:13:00,RCV-003,NEW
RCPT-100029,PO-50000,2024-12-23,06:19:00,SKU-02045,417,418,1,B-01R-025-3-A,2024-12-23 08:01:00,RCV-003,NEW
RCPT-100134,PO-50000,2024-12-23,12:31:00,SKU-00553,36,35,-1,A-04L-016-4-B,2024-12-23 14:06:00,RCV-001,NEW
RCPT-100150,PO-50000,2024-12-23,10:12:00,SKU-02738,27,26,-1,B-02L-024-3-A,2024-12-23 10:54:00,RCV-006,NEW
RCPT-100167,PO-50000,2024-12-23,08:00:00,SKU-03882,79,78,-1,B-01R-002-3-B,2024-12-23 09:15:00,RCV-008,NEW
RCPT-100133,PO-50000,2024-12-23,07:06:00,SKU-02522,16,17,1,E-01R-002-5-A,2024-12-23 09:40:00,RCV-001,NEW
RCPT-100088,PO-50000,2024-12-23,08:52:00,SKU-00960,12,10,-2,D-04R-014-1-B,2024-12-23 09:34:00,RCV-007,NEW
RCPT-100030,PO-50000,2024-12-23,08:55:00,SKU-00530,21,22,1,A-03L-006-3-B,2024-12-23 11:52:00,RCV-007,NEW
RCPT-100057,PO-50000,2024-12-23,11:24:00,SKU-03236,36,38,2,A-02L-012-2-B,2024-12-23 13:26:00,RCV-002,NEW
RCPT-100101,PO-50000,2024-12-23,07:43:00,SKU-03826,20,18,-2,B-02R-016-4-A,2024-12-23 08:16:00,RCV-005,NEW
RCPT-100017,PO-50000,2024-12-23,07:56:00,SKU-04192,13,11,-2,C-01R-024-5-A,2024-12-23 10:22:00,RCV-007,NEW
RCPT-100102,PO-50000,2024-12-23,08:31:00,SKU-03787,215,216,1,C-02L-018-1-B,2024-12-23 09:23:00,RCV-006,NEW
RCPT-100031,PO-50000,2024-12-23,06:06:00,SKU-03973,18,19,1,D-01L-024-5-A,2024-12-23 07:12:00,RCV-007,NEW
RCPT-100059,PO-50000,2024-12-23,08:36:00,SKU-03881,1347,1347,0,B-02R-002-4-A,2024-12-23 09:52:00,RCV-008,NEW
RCPT-100035,PO-50000,2024-12-23,06:09:00,SKU-03823,871,870,-1,C-02R-020-1-B,2024-12-23 08:45:00,RCV-007,NEW
RCPT-100054,PO-50000,2024-12-23,07:54:00,SKU-01204,1962,1962,0,A-03R-016-1-B,2024-12-23 10:35:00,RCV-007,NEW
RCPT-100069,PO-50000,2024-12-23,07:22:00,SKU-04042,12,11,-1,E-02R-019-2-A,2024-12-23 08:04:00,RCV-007,NEW
RCPT-100103,PO-50000,2024-12-23,06:50:00,SKU-02836,187,185,-2,A-02R-009-1-B,2024-12-23 09:31:00,RCV-007,NEW
RCPT-100147,PO-50000,2024-12-23,11:27:00,SKU-04211,100,98,-2,A-01L-009-5-B,2024-12-23 13:38:00,RCV-005,NEW
