snapshot_date,sku_id,location_code,zone,shelf_type,ergonomic_tier,level_height_in,dist_from_dock_ft,qty_on_hand,qty_allocated,qty_available,days_since_last_replenishment,last_replenishment_date,abc_tier_at_slotting,abc_tier_current,slotting_drift,current_vel_picks_per_day
2025-06-20,SKU-00001,C-03L-001-4-A,C,APP,sub_prime,63,275,59,6,53,13,2025-06-07,A,A,False,7.433
2025-06-20,SKU-00002,D-03L-007-1-A,D,APP,floor,9,400,13,1,12,17,2025-06-03,C,B,True,1.065
2025-06-20,SKU-00003,C-03R-010-4-B,C,APP,sub_prime,63,275,61,5,56,3,2025-06-17,B,A,True,3.29
2025-06-20,SKU-00004,D-04L-001-1-A,D,APP,floor,9,400,15,0,15,11,2025-06-09,C,B,True,0.817
2025-06-20,SKU-00005,C-03L-019-2-B,C,APP,prime,27,275,18,1,17,19,2025-06-01,C,B,True,1.077
2025-06-20,SKU-00006,E-04R-007-1-B,E,APP,floor,9,525,9,1,8,20,2025-05-31,C,B,True,1.067
2025-06-20,SKU-00007,B-04L-011-1-A,B,APP,floor,9,150,31,3,28,13,2025-06-07,B,A,True,4.021
2025-06-20,SKU-00008,D-04R-016-1-A,D,APP,floor,9,400,18,2,16,16,2025-06-04,B,B,False,2.127
2025-06-20,SKU-00009,D-03L-012-4-B,D,APP,sub_prime,63,400,56,0,56,6,2025-06-14,B,A,True,2.756
2025-06-20,SKU-00010,B-04R-004-2-B,B,APP,prime,27,150,204,13,191,9,2025-06-11,A,A,False,12.177
2025-06-20,SKU-00011,E-04L-020-4-A,E,APP,sub_prime,63,525,4,0,4,18,2025-06-02,C,B,True,0.881
2025-06-20,SKU-00012,E-04L-012-3-B,E,APP,prime,45,525,9,0,9,4,2025-06-16,C,B,True,0.97
2025-06-20,SKU-00013,D-04R-013-4-B,D,APP,sub_prime,63,400,4,0,4,4,2025-06-16,C,B,True,0.86
2025-06-20,SKU-00014,A-04L-004-2-B,A,APP,prime,27,50,73,9,64,1,2025-06-19,A,A,False,6.089
2025-06-20,SKU-00015,D-03L-002-2-B,D,APP,prime,27,400,12,1,11,5,2025-06-15,C,B,True,1.205
2025-06-20,SKU-00016,B-03R-004-3-A,B,APP,prime,45,150,74,3,71,17,2025-06-03,B,A,True,4.577
2025-06-20,SKU-00017,B-03R-001-4-B,B,APP,sub_prime,63,150,246,63,183,4,2025-06-16,A,A,False,37.964
2025-06-20,SKU-00018,B-03L-014-2-A,B,APP,prime,27,150,21,3,18,14,2025-06-06,B,A,True,3.915
2025-06-20,SKU-00019,A-03R-001-1-A,A,APP,floor,9,50,169,16,153,20,2025-05-31,A,A,False,15.367
2025-06-20,SKU-00020,B-03L-011-2-B,B,APP,prime,27,150,26,6,20,12,2025-06-08,B,A,True,3.98
2025-06-20,SKU-00021,E-04R-009-2-A,E,APP,prime,27,525,16,0,16,8,2025-06-12,C,B,True,0.867
2025-06-20,SKU-00022,D-04R-011-4-B,D,APP,sub_prime,63,400,28,2,26,5,2025-06-15,B,B,False,1.561
2025-06-20,SKU-00023,A-04R-013-4-B,A,APP,sub_prime,63,50,62,5,57,2,2025-06-18,A,A,False,4.798
2025-06-20,SKU-00024,D-04L-010-3-A,D,APP,prime,45,400,23,1,22,3,2025-06-17,B,B,False,1.763
2025-06-20,SKU-00025,B-03L-020-3-A,B,APP,prime,45,150,31,2,29,17,2025-06-03,B,B,False,2.32
2025-06-20,SKU-00026,A-03R-009-1-B,A,APP,floor,9,50,288,12,276,3,2025-06-17,A,A,False,19.557
2025-06-20,SKU-00027,D-03L-014-3-A,D,APP,prime,45,400,12,1,11,14,2025-06-06,B,B,False,1.441
2025-06-20,SKU-00028,B-04L-012-1-A,B,APP,floor,9,150,61,15,46,3,2025-06-17,A,A,False,8.492
2025-06-20,SKU-00029,C-03L-006-4-A,C,APP,sub_prime,63,275,64,2,62,6,2025-06-14,B,A,True,3.318
2025-06-20,SKU-00030,C-04R-012-3-B,C,APP,prime,45,275,25,1,24,10,2025-06-10,B,B,False,2.297
2025-06-20,SKU-00031,B-04L-006-4-B,B,APP,sub_prime,63,150,46,2,44,16,2025-06-04,A,A,False,4.902
2025-06-20,SKU-00032,D-04L-004-2-B,D,APP,prime,27,400,14,1,13,20,2025-05-31,C,B,True,1.049
2025-06-20,SKU-00033,E-04R-019-3-B,E,APP,prime,45,525,21,1,20,8,2025-06-12,C,B,True,1.117
2025-06-20,SKU-00034,A-04L-017-3-A,A,APP,prime,45,50,331,44,287,2,2025-06-18,A,A,False,27.859
2025-06-20,SKU-00035,D-04L-019-1-B,D,APP,floor,9,400,34,2,32,10,2025-06-10,B,B,False,2.156
2025-06-20,SKU-00036,B-04R-004-4-A,B,APP,sub_prime,63,150,249,0,249,1,2025-06-19,A,A,False,13.781
