order_id,order_date,pick_time,sku_id,qty_picked,pick_location,associate_id,order_type,carrier,ship_method
ORD-1000998,2025-04-22,06:26:19,SKU-03080,2,C-01L-018-3-B,PKR-003,SINGLE,USPS Priority Mail,GROUND
ORD-1001143,2025-04-22,16:47:20,SKU-04717,2,B-02R-006-3-B,PKR-014,MULTI,UPS Ground,GROUND
ORD-1002674,2025-04-22,21:10:40,SKU-02908,2,B-02L-005-3-A,PKR-003,MULTI,FedEx Ground,GROUND
ORD-1003991,2025-04-22,09:35:15,SKU-02893,2,B-01L-026-2-B,PKR-016,MULTI,UPS Ground,GROUND
ORD-1006713,2025-04-22,19:33:34,SKU-00017,2,B-03R-001-4-B,PKR-027,MULTI,FedEx Ground,PRIORITY_2D
ORD-1004438,2025-04-22,08:33:58,SKU-00831,2,A-03R-004-3-B,PKR-012,MULTI,UPS Ground,GROUND
ORD-1006331,2025-04-22,18:39:52,SKU-02199,1,A-02R-016-5-B,PKR-010,MULTI,USPS Priority Mail,GROUND
ORD-1005833,2025-04-22,11:05:23,SKU-01490,1,B-04R-009-1-A,PKR-016,MULTI,UPS Ground,GROUND
ORD-1002802,2025-04-22,08:02:42,SKU-04041,2,A-02R-002-2-B,PKR-028,MULTI,USPS Priority Mail,GROUND
ORD-1000978,2025-04-22,07:53:00,SKU-04457,1,A-01L-020-2-B,PKR-029,MULTI,FedEx Ground,GROUND
ORD-1004244,2025-04-22,18:54:47,SKU-02366,2,A-01R-020-4-A,PKR-026,MULTI,UPS Ground,PRIORITY_2D
ORD-1000531,2025-04-22,20:41:38,SKU-01247,2,A-04R-019-1-A,PKR-018,MULTI,USPS Priority Mail,GROUND
ORD-1000747,2025-04-22,08:11:44,SKU-01706,2,B-03R-011-3-B,PKR-030,MULTI,USPS Priority Mail,GROUND
ORD-1000995,2025-04-22,18:08:12,SKU-04637,2,B-02L-003-1-A,PKR-016,MULTI,FedEx Ground,STANDARD_OVERNIGHT
ORD-1006091,2025-04-22,06:07:35,SKU-02908,2,B-02L-005-3-A,PKR-006,MULTI,UPS Ground,PRIORITY_2D
ORD-1002618,2025-04-22,21:43:39,SKU-04328,2,A-02L-021-1-B,PKR-029,MULTI,USPS Priority Mail,STANDARD_OVERNIGHT
ORD-1006418,2025-04-22,06:53:16,SKU-02628,2,B-01L-009-5-A,PKR-002,MULTI,USPS Priority Mail,GROUND
ORD-1006438,2025-04-22,14:55:15,SKU-02104,1,B-01R-002-1-A,PKR-004,MULTI,FedEx Ground,PRIORITY_2D
ORD-1006123,2025-04-22,17:39:44,SKU-00872,2,A-04L-005-1-A,PKR-009,MULTI,UPS Ground,GROUND
ORD-1004604,2025-04-22,13:14:50,SKU-03727,2,B-02R-023-4-A,PKR-019,MULTI,UPS Ground,GROUND
ORD-1001665,2025-04-22,08:43:02,SKU-00131,2,C-04R-005-3-A,PKR-029,MULTI,FedEx Ground,GROUND
ORD-1007065,2025-04-22,18:02:23,SKU-02366,1,A-01R-020-4-A,PKR-015,MULTI,FedEx Ground,GROUND
ORD-1006605,2025-04-22,15:50:17,SKU-00054,2,C-03L-020-3-A,PKR-006,MULTI,USPS Priority Mail,GROUND
ORD-1007311,2025-04-22,14:43:47,SKU-03576,2,D-02L-010-3-B,PKR-014,MULTI,UPS Ground,GROUND
ORD-1002019,2025-04-22,16:03:45,SKU-01620,1,A-03L-010-4-A,PKR-021,MULTI,UPS 2nd Day Air,PRIORITY_2D
ORD-1003378,2025-04-22,09:05:33,SKU-02775,2,C-01R-023-3-A,PKR-001,MULTI,UPS Ground,GROUND
ORD-1006624,2025-04-22,09:14:53,SKU-04041,1,A-02R-002-2-B,PKR-030,MULTI,FedEx Ground,GROUND
ORD-1004791,2025-04-22,16:17:00,SKU-02885,2,D-01L-003-4-A,PKR-003,MULTI,USPS Priority Mail,GROUND
ORD-1006241,2025-04-22,11:56:59,SKU-04328,2,A-02L-021-1-B,PKR-021,MULTI,USPS Priority Mail,GROUND
ORD-1000794,2025-04-22,15:41:56,SKU-04999,1,D-02R-010-2-A,PKR-021,MULTI,FedEx 2Day,GROUND
ORD-1003309,2025-04-22,16:16:05,SKU-04328,1,A-02L-021-1-B,PKR-009,MULTI,USPS Priority Mail,GROUND
ORD-1006888,2025-04-22,17:42:58,SKU-01552,1,A-04R-001-1-B,PKR-020,MULTI,UPS Ground,GROUND
ORD-1006774,2025-04-22,06:45:11,SKU-03018,2,C-02L-015-3-B,PKR-016,MULTI,UPS 2nd Day Air,STANDARD_OVERNIGHT
ORD-1002176,2025-04-22,11:54:16,SKU-04328,1,A-02L-021-1-B,PKR-003,MULTI,FedEx 2Day,GROUND
ORD-1003851,2025-04-22,12:47:08,SKU-03348,1,B-02L-006-4-B,PKR-025,MULTI,UPS 2nd Day Air,GROUND
ORD-1005899,2025-04-22,20:35:40,SKU-04328,2,A-02L-021-1-B,PKR-017,MULTI,USPS Priority Mail,GROUND
ORD-1003599,2025-04-22,17:24:35,SKU-04116,2,B-02L-002-3-A,PKR-029,MULTI,FedEx Ground,GROUND
ORD-1001284,2025-04-22,16:58:42,SKU-04328,1,A-02L-021-1-B,PKR-016,MULTI,USPS Priority Mail,GROUND
ORD-1001630,2025-04-22,06:59:22,SKU-00793,2,B-03L-008-4-B,PKR-008,MULTI,FedEx Ground,GROUND
ORD-1002172,2025-04-22,19:30:17,SKU-01243,2,C-04R-011-3-A,PKR-028,MULTI,FedEx Ground,GROUND
ORD-1006552,2025-04-22,16:13:11,SKU-04297,2,B-01L-002-3-A,PKR-006,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1001113,2025-04-22,20:55:05,SKU-03697,1,C-01R-025-5-A,PKR-024,MULTI,FedEx Ground,GROUND
ORD-1003128,2025-04-22,09:55:39,SKU-04670,2,C-02R-018-2-B,PKR-027,MULTI,FedEx Ground,GROUND
ORD-1007998,2025-04-22,12:02:48,SKU-00872,2,A-04L-005-1-A,PKR-014,SINGLE,UPS Ground,GROUND
ORD-1005421,2025-04-22,15:55:18,SKU-02603,2,C-01L-014-4-A,PKR-015,MULTI,FedEx Ground,GROUND
ORD-1005778,2025-04-22,08:26:58,SKU-04311,2,B-02L-012-2-B,PKR-021,MULTI,UPS Ground,GROUND
ORD-1000475,2025-04-22,07:15:44,SKU-02366,2,A-01R-020-4-A,PKR-005,MULTI,USPS Priority Mail,GROUND
ORD-1007920,2025-04-22,19:39:43,SKU-04328,2,A-02L-021-1-B,PKR-013,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1007928,2025-04-22,13:47:55,SKU-00483,2,C-03L-009-3-A,PKR-005,MULTI,USPS Priority Mail,GROUND
ORD-1002081,2025-04-22,16:01:20,SKU-03341,1,C-02L-025-5-A,PKR-030,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1003330,2025-04-22,17:52:47,SKU-02609,2,C-01R-013-1-B,PKR-005,MULTI,FedEx Ground,GROUND
ORD-1005474,2025-04-22,11:59:44,SKU-03106,1,D-02R-019-3-B,PKR-032,MULTI,UPS Ground,GROUND
ORD-1006209,2025-04-22,09:45:08,SKU-02129,2,D-01L-024-3-A,PKR-017,MULTI,FedEx Ground,GROUND
ORD-1006093,2025-04-22,21:49:42,SKU-04041,2,A-02R-002-2-B,PKR-031,MULTI,UPS Ground,GROUND
ORD-1005523,2025-04-22,19:39:32,SKU-03727,2,B-02R-023-4-A,PKR-017,MULTI,USPS Priority Mail,GROUND
ORD-1003367,2025-04-22,07:25:42,SKU-00521,2,C-04L-020-1-B,PKR-008,MULTI,FedEx Ground,STANDARD_OVERNIGHT
ORD-1007907,2025-04-22,17:16:38,SKU-02585,2,A-01R-012-4-A,PKR-006,MULTI,FedEx Ground,STANDARD_OVERNIGHT
ORD-1007051,2025-04-22,07:04:37,SKU-00766,2,E-04L-016-1-A,PKR-026,MULTI,USPS Priority Mail,GROUND
ORD-1005998,2025-04-22,15:32:35,SKU-04328,2,A-02L-021-1-B,PKR-029,MULTI,FedEx 2Day,GROUND
