sku_id,description,category,sub_category,upc,unit_of_measure,case_qty,unit_weight_lbs,unit_length_in,unit_width_in,unit_height_in,unit_cube_cuft,shelf_type,surge_group,first_received_date,is_active,current_vel_picks_per_day,old_vel_picks_per_day,abc_tier_current,abc_tier_at_slotting,slotting_drift
SKU-00001,Flex Tee - XXL / Olive,Apparel & Footwear,Athletic & Activewear,205977775184,EA,24,1.0,12.4,12.7,3.1,0.2825,APP,surge,2024-03-14,True,7.4325,4.0521,A,A,False
SKU-00002,ProFit Legging - S / White,Apparel & Footwear,Athletic & Activewear,420580882617,EA,24,1.13,14.4,12.4,2.3,0.2377,APP,surge,2024-04-02,True,1.0653,0.5808,B,C,True
SKU-00003,Flex Sports Bra - XS / Black,Apparel & Footwear,Athletic & Activewear,344051769739,EA,12,1.17,16.9,12.0,1.6,0.1878,APP,surge,2024-05-05,True,3.29,1.7937,A,B,True
SKU-00004,Flex Legging - S / Tan,Apparel & Footwear,Athletic & Activewear,643256941867,EA,6,0.63,12.7,6.7,1.4,0.0689,APP,surge,2024-05-21,True,0.8171,0.4455,B,C,True
SKU-00005,Performance Legging - XXL / Tan,Apparel & Footwear,Athletic & Activewear,266181807776,EA,12,1.05,16.0,8.5,1.9,0.1495,APP,surge,2023-02-16,True,1.0774,0.5874,B,C,True
SKU-00006,Swift Legging - L / Olive,Apparel & Footwear,Athletic & Activewear,214664850756,EA,24,1.0,12.6,10.1,1.4,0.1031,APP,surge,2023-08-13,True,1.0674,0.5819,B,C,True
SKU-00007,Performance Running Short - XXL / Slate Blue,Apparel & Footwear,Athletic & Activewear,922498028082,EA,48,0.8,11.0,5.3,2.3,0.0776,APP,surge,2024-06-12,True,4.0211,2.1923,A,B,True
SKU-00008,Dynamic Tank Top - S / Navy,Apparel & Footwear,Athletic & Activewear,444831301077,EA,24,0.9,13.6,12.1,3.0,0.2857,APP,surge,2023-11-28,True,2.1265,1.1593,B,B,False
SKU-00009,Dynamic Hoodie - XS / Slate Blue,Apparel & Footwear,Athletic & Activewear,441323666390,EA,12,0.45,13.0,6.4,3.1,0.1493,APP,surge,2025-01-03,True,2.7561,1.5026,A,B,True
SKU-00010,Flex Jogger - M / Olive,Apparel & Footwear,Athletic & Activewear,792727747200,EA,12,1.17,17.1,11.3,1.8,0.2013,APP,surge,2022-06-30,True,12.1772,6.6389,A,A,False
SKU-00011,Performance Windbreaker - XL / White,Apparel & Footwear,Athletic & Activewear,514807476436,EA,6,0.71,10.0,7.8,2.7,0.1219,APP,surge,2023-07-08,True,0.8807,0.4801,B,C,True
SKU-00012,Swift Hoodie - XL / Olive,Apparel & Footwear,Athletic & Activewear,141361611571,EA,12,0.88,8.8,8.7,1.1,0.0487,APP,surge,2022-06-04,True,0.9698,0.5287,B,C,True
SKU-00013,Dynamic Legging - XXL / White,Apparel & Footwear,Athletic & Activewear,194447002464,EA,12,0.82,11.5,10.3,1.1,0.0754,APP,surge,2022-05-20,True,0.8597,0.4687,B,C,True
SKU-00014,Performance Legging - M / White,Apparel & Footwear,Athletic & Activewear,558420380851,EA,12,0.81,12.7,7.4,2.0,0.1088,APP,surge,2023-08-12,True,6.0886,3.3194,A,A,False
SKU-00015,ProFit Hoodie - L / Olive,Apparel & Footwear,Athletic & Activewear,779731699220,EA,6,0.4,14.7,7.5,3.0,0.1914,APP,surge,2023-08-11,True,1.2049,0.6569,B,C,True
SKU-00016,Elite Jogger - S / Burgundy,Apparel & Footwear,Athletic & Activewear,296265929911,EA,24,0.63,16.3,12.3,2.0,0.232,APP,surge,2025-03-30,True,4.5773,2.4955,A,B,True
SKU-00017,Dynamic Legging - XXL / Olive,Apparel & Footwear,Athletic & Activewear,882815430736,EA,12,0.69,17.9,13.0,3.2,0.4309,APP,surge,2024-03-10,True,37.9643,20.6977,A,A,False
SKU-00018,Flex Running Short - XL / Navy,Apparel & Footwear,Athletic & Activewear,920108817135,EA,24,0.39,15.5,7.4,3.8,0.2522,APP,surge,2022-08-02,True,3.9154,2.1346,A,B,True
SKU-00019,Active Windbreaker - L / Olive,Apparel & Footwear,Athletic & Activewear,454190122106,EA,48,0.48,11.1,12.0,3.9,0.3006,APP,surge,2024-12-30,True,15.3665,8.3776,A,A,False
SKU-00020,ProFit Jogger - XS / Navy,Apparel & Footwear,Athletic & Activewear,880707814159,EA,6,0.76,14.9,10.2,1.6,0.1407,APP,surge,2024-02-11,True,3.9798,2.1697,A,B,True
SKU-00021,Performance Jogger - L / Olive,Apparel & Footwear,Athletic & Activewear,529940551681,EA,24,0.57,12.9,11.0,3.9,0.3203,APP,surge,2024-12-08,True,0.8674,0.4729,B,C,True
SKU-00022,Flex Legging - XL / Burgundy,Apparel & Footwear,Athletic & Activewear,784467806128,EA,12,0.68,17.7,10.4,3.8,0.4048,APP,surge,2022-11-01,True,1.5614,0.8513,B,B,False
SKU-00023,ProFit Windbreaker - L / Dusty Rose,Apparel & Footwear,Athletic & Activewear,762413941698,EA,12,0.51,13.3,10.5,3.6,0.2909,APP,surge,2023-12-07,True,4.7985,2.6161,A,A,False
SKU-00024,Active Tank Top - S / Navy,Apparel & Footwear,Athletic & Activewear,918045311833,EA,48,0.52,10.4,11.7,3.4,0.2394,APP,surge,2024-12-04,True,1.7634,0.9614,B,B,False
SKU-00025,Core Sports Bra - XL / Slate Blue,Apparel & Footwear,Athletic & Activewear,415070118045,EA,24,1.13,9.7,7.6,1.5,0.064,APP,surge,2023-03-17,True,2.3202,1.2649,B,B,False
SKU-00026,Dynamic Legging - S / Tan,Apparel & Footwear,Athletic & Activewear,785041822265,EA,48,0.65,11.2,9.5,3.6,0.2217,APP,surge,2024-01-20,True,19.5574,10.6624,A,A,False
SKU-00027,Elite Hoodie - XS / White,Apparel & Footwear,Athletic & Activewear,081049608889,EA,12,0.34,11.7,9.7,1.3,0.0854,APP,surge,2022-04-01,True,1.4411,0.7857,B,B,False
SKU-00028,Active Running Short - XXL / Slate Blue,Apparel & Footwear,Athletic & Activewear,718535988473,EA,24,1.02,15.8,10.8,3.3,0.3259,APP,surge,2023-05-04,True,8.492,4.6297,A,A,False
SKU-00029,Flex Sports Bra - L / Dusty Rose,Apparel & Footwear,Athletic & Activewear,623353734316,EA,12,0.54,9.4,9.3,2.3,0.1164,APP,surge,2024-06-08,True,3.3182,1.8091,A,B,True
SKU-00030,Core Tee - XXL / White,Apparel & Footwear,Athletic & Activewear,459846285576,EA,6,1.15,17.2,9.3,2.0,0.1851,APP,surge,2024-06-18,True,2.2967,1.2522,B,B,False
SKU-00031,Core Jogger - XS / Olive,Apparel & Footwear,Athletic & Activewear,919660675059,EA,24,0.96,10.0,11.3,3.6,0.2354,APP,surge,2024-12-12,True,4.9017,2.6724,A,A,False
SKU-00032,Swift Running Short - L / Black,Apparel & Footwear,Athletic & Activewear,979902750056,EA,12,1.16,16.0,10.3,3.3,0.3147,APP,surge,2024-11-02,True,1.0486,0.5717,B,C,True
SKU-00033,Core Running Short - XL / White,Apparel & Footwear,Athletic & Activewear,779754251981,EA,24,0.81,13.7,9.2,2.6,0.1896,APP,surge,2025-01-04,True,1.1169,0.6089,B,C,True
SKU-00034,Core Legging - S / Burgundy,Apparel & Footwear,Athletic & Activewear,267378876273,EA,24,0.38,14.6,8.8,3.3,0.2454,APP,surge,2024-05-19,True,27.8587,15.1882,A,A,False
SKU-00035,Active Tee - XL / Burgundy,Apparel & Footwear,Athletic & Activewear,731715993764,EA,6,0.44,9.5,13.4,2.3,0.1694,APP,surge,2024-03-07,True,2.1561,1.1755,B,B,False
SKU-00036,Elite Tee - XS / Burgundy,Apparel & Footwear,Athletic & Activewear,288611450650,EA,6,1.19,15.2,13.6,1.4,0.1675,APP,surge,2023-12-07,True,13.7806,7.513,A,A,False
SKU-00037,Core Legging - XS / Navy,Apparel & Footwear,Athletic & Activewear,035977513908,EA,24,1.04,11.0,9.1,2.3,0.1332,APP,surge,2024-06-23,True,86.0525,46.9148,A,A,False
SKU-00038,Flex Hoodie - XXL / Dusty Rose,Apparel & Footwear,Athletic & Activewear,166068802241,EA,48,1.05,9.1,14.0,3.0,0.2212,APP,surge,2022-11-25,True,1.8617,1.015,B,B,False
SKU-00039,Flex Running Short - S / Dusty Rose,Apparel & Footwear,Athletic & Activewear,001086989228,EA,12,0.48,17.1,10.9,1.1,0.1187,APP,surge,2025-03-16,True,3.3498,1.8263,A,B,True
SKU-00040,Active Tank Top - XL / Slate Blue,Apparel & Footwear,Athletic & Activewear,884042116557,EA,24,1.02,17.3,11.9,3.1,0.3693,APP,surge,2023-05-15,True,0.8775,0.4784,B,C,True
SKU-00041,ProFit Legging - XXL / Olive,Apparel & Footwear,Athletic & Activewear,020759765006,EA,6,1.07,9.6,11.6,1.6,0.1031,APP,surge,2025-04-02,True,1.6209,0.8837,B,B,False
SKU-00042,Swift Jogger - L / Tan,Apparel & Footwear,Athletic & Activewear,713954572685,EA,12,1.1,15.1,6.6,1.3,0.075,APP,surge,2024-12-03,True,1.0079,0.5495,B,C,True
SKU-00043,Elite Hoodie - S / Navy,Apparel & Footwear,Athletic & Activewear,264911456494,EA,6,1.15,11.0,10.2,3.1,0.2013,APP,surge,2025-01-02,True,1.2015,0.655,B,C,True
SKU-00044,Flex Jogger - XS / Tan,Apparel & Footwear,Athletic & Activewear,764694148295,EA,24,0.42,10.8,7.7,2.3,0.1107,APP,surge,2024-05-16,True,4.8709,2.6556,A,A,False
SKU-00045,ProFit Legging - XS / White,Apparel & Footwear,Athletic & Activewear,053557565663,EA,12,0.33,12.2,9.3,1.7,0.1116,APP,surge,2022-11-12,True,1.5929,0.8684,B,B,False
SKU-00046,Performance Legging - XS / Black,Apparel & Footwear,Athletic & Activewear,958758198575,EA,12,0.79,12.3,10.6,2.1,0.1584,APP,surge,2022-10-29,True,45.5572,24.8372,A,A,False
SKU-00047,Dynamic Hoodie - XL / Navy,Apparel & Footwear,Athletic & Activewear,008880025341,EA,24,0.58,16.4,9.4,1.3,0.116,APP,surge,2024-05-19,True,6.5081,3.5482,A,A,False
SKU-00048,Core Windbreaker - S / Tan,Apparel & Footwear,Athletic & Activewear,437126615359,EA,6,0.97,8.1,12.4,3.6,0.2092,APP,surge,2022-03-14,True,1.4273,0.7782,B,B,False
SKU-00049,Active Windbreaker - S / Dusty Rose,Apparel & Footwear,Athletic & Activewear,739630627541,EA,24,0.99,11.1,11.2,3.1,0.223,APP,surge,2024-11-08,True,0.7885,0.4299,B,C,True
SKU-00050,Swift Legging - XS / White,Apparel & Footwear,Athletic & Activewear,896154833087,EA,6,1.05,17.9,10.0,3.5,0.3626,APP,surge,2023-12-31,True,0.7993,0.4357,B,C,True
SKU-00051,Swift Jogger - L / Slate Blue,Apparel & Footwear,Athletic & Activewear,906212149574,EA,6,0.72,9.5,6.6,3.7,0.1343,APP,surge,2025-02-12,True,1.2614,0.6877,B,B,False
SKU-00052,Elite Tee - XXL / White,Apparel & Footwear,Athletic & Activewear,467760737583,EA,48,0.52,16.4,10.7,2.9,0.2945,APP,surge,2022-09-06,True,1.2597,0.6868,B,B,False
SKU-00053,Performance Sports Bra - XXL / Burgundy,Apparel & Footwear,Athletic & Activewear,493518335485,EA,24,0.73,15.7,12.7,2.5,0.2885,APP,surge,2025-01-19,True,2.6289,1.4332,B,B,False
